Date,Actual,Predicted
2021-01-01,958.0000000000003,955.0423945715672
2021-01-02,1130.0000000000005,1127.564679056431
2021-01-03,1648.9999999999998,1659.1374412105738
2021-01-04,1070.0,1073.0517413634554
2021-01-05,1002.0000000000003,999.6054290148953
2021-01-06,1875.9999999999995,1891.5004742693002
2021-01-07,775.9999999999999,772.1077369504252
2021-01-08,1014.0,1013.9653512966274
2021-01-09,1655.0,1660.9282377909042
2021-01-10,708.0,712.6559212098796
2021-01-11,863.9999999999997,863.0211330274054
2021-01-12,954.0000000000001,956.4687427655365
2022-01-01,818.9999999999997,820.780192835619
2022-01-02,928.9999999999997,929.9990820219683
2022-01-03,934.0000000000003,931.509690299798
2022-01-04,850.9999999999997,853.2996567067022
2022-01-05,859.9999999999998,861.3675792328896
2022-01-06,902.0,902.4346311692361
2022-01-07,1046.0000000000002,1041.8234124026042
2022-01-08,1046.0000000000002,1041.8775443888312
2022-01-09,974.9999999999995,973.1098614740873
2022-01-10,974.0000000000001,972.7472424797677
2022-01-11,1086.9999999999998,1085.3122615343232
2022-01-12,1011.0000000000003,1012.4151135528602
2023-01-01,693.0000000000001,689.7640429480737
2023-01-02,700.9999999999998,693.5195170131758
2023-01-03,796.0000000000001,795.78640243507
2023-01-04,595.0000000000001,592.7552834304107
2023-01-05,596.9999999999998,593.3738152229527
2023-01-06,875.0000000000002,874.7727185647767
2023-01-07,759.0000000000001,757.2820888318324
2023-01-08,840.0000000000002,838.029930446221
2023-01-09,820.9999999999998,824.3192409468884
2023-01-10,802.0,799.8409923352716
2023-01-11,751.9999999999999,754.3490678704329
2023-01-12,804.9999999999998,804.2770712925453
2024-01-01,616.9999999999998,622.3194538684761
2024-01-02,662.0,653.2099119348039
2024-01-03,737.0,738.3332393618973
2024-01-04,700.0,696.1057345379455
2024-01-05,847.0,850.577140170584
2024-01-06,865.9999999999997,865.0847971300957
2024-01-07,819.9999999999997,821.0102878082561
2024-01-08,811.9999999999997,809.1555301843214
2024-01-09,704.9999999999999,701.1921600803455
2024-01-10,774.0000000000002,771.6371043133306
2024-01-11,798.0,796.1179570802233
2024-01-12,720.0000000000002,716.4140026615348
2025-01-01,520.0,507.45433951608226
2025-01-02,612.0000000000001,599.1200070164175
2025-01-03,578.0000000000002,568.1036434896307
2025-01-04,800.0000000000003,798.8051814000268
